"titulo";"url_noticia";"tag";"texto";"url_imagen";"periodista";"tiempo";"fecha_captura"
"   Desde la Redacción | Sellos por ley de etiquetado: ¿Qué bebidas alcohólicas los tendrán y cómo serán?";"/videopodcast/redaccion/desde-la-redaccion-sellos-por-ley-de-etiquetado-que-bebidas-alcoholicas-los-tendran-y-como-seran/";"Desde la Redacción ";"A partir de este domingo todos los productos alcohólicos comercializados deberán incluir etiquetas mostrando los riesgos y consecuencias del consumo de licor. En entrevista con el programa de La Tercera la químico farmacéutico, académica e investigadora de la Facultad Tecnológica de la Universidad de Santiago (USACH), Marcela Zamorano, abordó todos los aspectos de la nueva legislación.";"https://www.latercera.com/resizer/EO1H7BSQOKDW1ecE5pvDi0Uv8uo=/375x250/smart/filters:focal(763x456:773x446)/cloudfront-us-east-1.images.arcpublishing.com/copesa/B5CQRYUX3FDUHGAQGHV3YQNATM.jpg";"La Tercera";" hace 5 minutos ";"2024-07-03"
"   La trayectoria del devastador huracán Beryl, en vivo: se dirige a México y se mantiene en categoría 4";"/tendencias/noticia/la-trayectoria-del-devastador-huracan-beryl-en-vivo-se-dirige-a-mexico-y-se-mantiene-en-categoria-4/GZXZWXVYRFAF7IC2RQPBEPNXJQ/";"Medioambiente ";"El huracán Beryl tocó tierra el pasado lunes y dejó estragos en su paso: al menos 7 fallecidos, edificios dañados y familias sin suministros básicos. Aquí puedes ver en vivo cómo avanza hacia México.";"https://www.latercera.com/resizer/GH6Tc2W1UicUiY9Ks_fktd9qAik=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/VN5LWS3CRHPKR7BMGG5EF3JQ5Y.jpg";"Nicole Iporre";" hace 9 minutos ";"2024-07-03"
"   Alcalde de Victoria queda con arraigo nacional tras ser formalizado por abuso sexual y violación contra dos mujeres";"/nacional/noticia/alcalde-de-victoria-queda-con-arraigo-nacional-tras-ser-formalizado-por-abuso-sexual-y-violacion-contra-dos-mujeres/635X6H6YG5F73OGF4BJDDNFBIQ/";"Judicial ";"El tribunal descartó la solicitud del Ministerio Público, desde donde pedían prisión preventiva para el jefe comunal.";"https://www.latercera.com/resizer/Suypp0qTsmlILDur-CHj5EYU9ps=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/BTRZTYQZFRHGLDLPFDXOUOUZJM.jpg";"Paula Pareja";" hace 12 minutos ";"2024-07-03"
"   Subsidio eléctrico: Pardow estima que pilares de financiamiento recaudarán cerca de US$300 millones";"/pulso/noticia/subsidio-electrico-pardow-estima-que-pilares-de-financiamiento-recaudaran-cerca-de-us300-millones/WIC2L3XHEFD2LARU5M2L55V4BE/";"Cuentas de la luz ";"Por otro lado, al ser consultado por la posibilidad de derogar la Ley de Estabilización de las Tarifas Eléctricas, Pardow señaló que esto significaría que el ajuste en las cuentas se haría de una sola vez, en vez de ser escalonado.";"https://www.latercera.com/resizer/ZY94iDR8WgDaeg6xF92YpouRh40=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/AF2XBTTPIBCJ5MXDYGPZPVKH4Y.jpg";"Paulina Ortega";" hace 23 minutos ";"2024-07-03"
"   Primer semestre 2024 registra la cifra más baja de personas fallecidas en accidentes de tránsito en 24 años";"/nacional/noticia/primer-semestre-2024-registra-la-cifra-mas-baja-de-personas-fallecidas-en-accidentes-de-transito-en-24-anos/OJ3BQTWICRDKRIC4WSUNEDKMUY/";"Transportes ";"De acuerdo con las cifras preliminares de junio recién pasado, ese mes sería el que menos muertes ha registrado por esta causa desde el 2000. En el Ministerio de Transportes valoraron la baja en las cifras, aunque recordaron que detrás de cada una de las muertes ""hay familias y grupos de amistades que sufren con la pérdida”.";"https://www.latercera.com/resizer/eX_Jia_J-vLBR-N6FkRZ9OzV8k4=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/ZARIFBLQ45GPRHMFLGSGSIX7GM.jpg";"Paula Pareja";" hace 25 minutos ";"2024-07-03"
"   Teatro Azares: Teatro familiar para disfrutar este invierno";"/club-la-tercera/noticia/teatro-azares-teatro-familiar-para-disfrutar-este-invierno/SAXYGEKAOJHSXGPBVOEFF2RQ3I/";"ClubLT Tiempo Libre ";"Este mes, no te pierdas el Ciclo de títeres para la familia con obras como “El árbol de Ko”, que aborda el respeto mutuo, la diversidad cultural y el cuidado al medio ambiente. Un montaje que encanta al público infantil por la riqueza de sus imágenes, pero que también atrapa a los adultos con la historia.";"https://www.latercera.com/resizer/CXefzVJWCBOkQf2d3mYNTytaFts=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/P65OCCFXEJBM7KBBRZV6VQM654.jpg";"Club La Tercera y Paulina Soto A.";" hace 32 minutos ";"2024-07-03"
"   Macron rechaza eventual coalición de gobierno con la extrema izquierda";"/mundo/noticia/macron-rechaza-eventual-coalicion-de-gobierno-con-la-extrema-izquierda/TOTQNVJS4VDMNG3TJYAENRDTTE/";"Francia ";"El presidente francés Emmanuel Macron y su primer ministro, Gabriel Attal, rechazaron las sugerencias de que la alianza oficialista podría intentar formar un gobierno multipartidista, en caso de que ninguna coalición política obtenga la mayoría absoluta en la Asamblea Nacional, en la segunda vuelta de elecciones legislativas anticipadas, el próximo domingo.";"https://www.latercera.com/resizer/4rwQ2qEHisPGnsm157maCPCSqp4=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/K4Y6VC2P6QX5DJOCPK4GAWCTEE.jpg";"Yurany Arciniegas/France 24";" hace 35 minutos ";"2024-07-03"
"   ¿Cabildeo institucional?: Schalper (RN) acusa lobby del INDH en pasillos de la Cámara para votar en contra de remoción de consejeros Exclusivo suscriptor";"/politica/noticia/cabildeo-institucional-schalper-rn-acusa-lobby-del-indh-en-pasillos-de-la-camara-para-votar-en-contra-de-remocion-de-consejeros/JF4LSU5QPRHJXLUW3EQNLUZOII/";"La Tercera PM ";"La denuncia tensionó el debate antes de la votación en la que se aprobó la solicitud para destituir a dos directivos del instituto.";"https://www.latercera.com/resizer/7EZfQ06LXGxwqoB1-gzVaj4v-5Y=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/HQCXJY57LVHYJGR6YE634JD6AI.jpg";"José Miguel Wilson";" hace 40 minutos ";"2024-07-03"
"   La historia tras los crímenes de “testigos protegidos” que resultaron no ser talesExclusivo suscriptor";"/la-tercera-pm/noticia/la-historia-tras-los-crimenes-de-testigos-protegidos-que-resultaron-no-ser-tales/ML7VMTW26NHIBF3YIRU4DNMQ7A/";"Ministerio Público ";"Un doble homicidio en Lampa y el crimen de una mujer en Ovalle habían sido vinculados a supuestos asesinatos en el contexto del crimen organizado, ya que se apuntó que los tres habrían tenido calidad de testigos protegidos. Sin embargo, tanto el Ministerio Público como el Gobierno salieron durante esta jornada a aclarar que las víctimas de estos trágicos delitos fueron muertos en contextos totalmente diferentes y que ninguno de ellos figuraba en los programas de protección a víctimas y testigos. Aquí detalles de ambos casos.";"https://www.latercera.com/resizer/_qmoBZTT-uUTKa5lHXPy72FnooY=/375x250/smart/filters:focal(853x446:863x436)/cloudfront-us-east-1.images.arcpublishing.com/copesa/2CFLBDKR4VEERBATPAJGPDLKLU.jpg";"José Carvajal Vega";" hace 43 minutos ";"2024-07-03"
"   A tres meses de su puesta en marcha: inhibidores de señal en cárceles han bloqueado 11.900 celulares y 15.100 chipsExclusivo suscriptor";"/la-tercera-pm/noticia/a-tres-meses-de-su-puesta-en-marcha-inhibidores-de-senal-en-carceles-han-bloqueado-11900-celulares-y-15100-chips/HEBDDMPAABD4FBWTPPEHEW3Z5M/";"Gendarmería ";"De acuerdo con datos reportados desde el Ministerio de Justicia, la nueva tecnología, además, ha permitido que dejen de operar 1.000 módem wifi que se encontraban al interior de Santiago 1, la exPenitenciaria y la Cárcel de Alta Seguridad.";"https://www.latercera.com/resizer/QK4ezgoV1t4P2FhIjNE43dcozDI=/375x250/smart/filters:focal(719x390:729x380)/cloudfront-us-east-1.images.arcpublishing.com/copesa/2IX2Y3SNKVCURFPNAYDBSL7HLM.jpg";"Catalina Batarce";" hace 44 minutos ";"2024-07-03"
